kanji;strokes;grade;freq;jlpt_old;jlpt_new;meanings;readings_on;readings_kun;wk_level;wk_meanings;wk_readings_on;wk_readings_kun;wk_radicals
日;4;1;1;4;5;[Day, Sun, Japan, Counter For Days];[にち, じつ];[ひ, -び, -か];2;[Sun, Day];[にち, じつ];[ひ, か, び];[Sun];;;;
一;1;1;2;4;5;[One, One Radical (no.1)];[いち, いつ];[ひと-, ひと.つ];1;[One];[いち, いつ];[ひと];[Ground];;;;
国;8;2;3;4;5;[Country];[こく];[くに];6;[Country];[こく];[くに];[Mouth, King, Drop];;;;
会;6;2;4;4;4;[Meeting, Meet, Party, Association, Interview, Join];[かい, え];[あ.う, あ.わせる, あつ.まる];5;[Meet];[かい];[あ];[Meet];;;;
人;2;1;5;4;5;[Person];[じん, にん];[ひと, -り, -と];1;[Person];[にん, じん];[ひと, と];[Person];;;;
年;6;1;6;4;5;[Year, Counter For Years];[ねん];[とし];4;[Year];[ねん];[とし];[Gun, Cow];;;;
大;3;1;7;4;5;[Large, Big];[だい, たい];[おお-, おお.きい, -おお.いに];1;[Big, Large];[たい, だい];[おお];[Big];;;;
十;2;1;8;4;5;[Ten];[じゅう, じっ, じゅっ];[とお, と];1;[Ten];[じゅう];[とお];[Cross];;;;
二;2;1;9;4;5;[Two, Two Radical (no. 7)];[に, じ];[ふた, ふた.つ, ふたたび];1;[Two];[に];[ふた];[Two];;;;
本;5;1;10;4;5;[Book, Present, Main, Origin, True, Real, Counter For Long Cylindrical Things];[ほん];[もと];2;[Book, Origin, Real, Main];[ほん];[もと];[Book];;;;
中;4;1;11;4;5;[In, Inside, Middle, Mean, Center];[ちゅう];[なか, うち, あた.る];2;[Middle, In, Inside, Center];[ちゅう];[なか];[Middle];;;;
長;8;2;12;4;5;[Long, Leader, Superior, Senior];[ちょう];[なが.い, おさ];6;[Long, Leader];[ちょう];[なが];[Long];;;;
出;5;1;13;4;5;[Exit, Leave, Go Out, Come Out, Put Out, Protrude];[しゅつ, すい];[で.る, -で, だ.す, -だ.す, い.でる, い.だす];2;[Exit];[しゅつ];[で, だ];[Mountain];;;;
三;3;1;14;4;5;[Three];[さん, ぞう];[み, み.つ, みっ.つ];1;[Three];[さん];[み];[Ground, Two];;;;
同;6;2;15;3;4;[Same, Agree, Equal];[どう];[おな.じ];5;[Same];[どう];[おな];[Mustache, Ground];;;;
時;10;2;16;4;5;[Time, Hour];[じ];[とき, -どき];7;[Time, Oclock, Hour],;[じ];[とき];[Sun, Temple];;;
政;9;5;17;2;3;[Politics, Government];[せい, しょう];[まつりごと, まん];16;[Politics, Government];[せい];[];[Correct, Winter];;;;
事;8;3;18;3;4;[Matter, Thing, Fact, Business, Reason, Possibly];[じ, ず];[こと, つか.う, つか.える];9;[Action, Matter, Thing];[じ];[こと, つか];[Cross, Mouth, Brush];;;;
自;6;2;19;3;4;[Oneself];[じ, し];[みずか.ら, おの.ずから, おの.ずと];5;[Self];[じ, し];[];[Self];;;;
