Kanji,strokes,grade,freq,jlpt_old,jlpt_new,meanings,readings_on,readings_kun,wk_level,wk_meanings,wk_readings_on,wk_readings_kun,wk_radicals
一,1,1.0,2.0,4.0,5.0,"['One', 'One Radical (no.1)']","['いち', 'いつ']","['ひと-', 'ひと.つ']",1.0,['One'],"['いち', 'いつ']",['!ひと'],['Ground']
二,2,1.0,9.0,4.0,5.0,"['Two', 'Two Radical (no. 7)']","['に', 'じ']","['ふた', 'ふた.つ', 'ふたたび']",1.0,['Two'],['に'],['!ふた'],['Two']
九,2,1.0,55.0,4.0,5.0,['Nine'],"['きゅう', 'く']","['ここの', 'ここの.つ']",1.0,['Nine'],"['く', 'きゅう']",['!ここの'],['Nine']
七,2,1.0,115.0,4.0,5.0,['Seven'],['しち'],"['なな', 'なな.つ', 'なの']",1.0,['Seven'],['しち'],"['!なな', '!なの']",['Seven']
人,2,1.0,5.0,4.0,5.0,['Person'],"['じん', 'にん']","['ひと', '-り', '-と']",1.0,['Person'],"['にん', 'じん']","['!ひと', '!と']",['Person']
入,2,1.0,56.0,4.0,5.0,"['Enter', 'Insert']","['にゅう', 'じゅ']","['い.る', '-い.る', '-い.り', 'い.れる', '-い.れ', 'はい.る']",1.0,['Enter'],['にゅう'],"['!はい', '!い']",['Enter']
八,2,1.0,92.0,4.0,5.0,"['Eight', 'Eight Radical (no. 12)']",['はち'],"['や', 'や.つ', 'やっ.つ', 'よう']",1.0,['Eight'],['はち'],"['!や', '!よう']",['Fins']
力,2,1.0,62.0,3.0,4.0,"['Power', 'Strength', 'Strong', 'Strain', 'Bear Up', 'Exert']","['りょく', 'りき', 'りい']",['ちから'],1.0,"['Power', '^Strength']","['りょく', 'りき']",['!ちから'],['Power']
十,2,1.0,8.0,4.0,5.0,['Ten'],"['じゅう', 'じっ', 'じゅっ']","['とお', 'と']",1.0,['Ten'],['じゅう'],['!とお'],['Cross']
三,3,1.0,14.0,4.0,5.0,['Three'],"['さん', 'ぞう']","['み', 'み.つ', 'みっ.つ']",1.0,['Three'],['さん'],['!み'],"['Ground', 'Two']"
上,3,1.0,35.0,4.0,5.0,"['Above', 'Up']","['じょう', 'しょう', 'しゃん']","['うえ', '-うえ', 'うわ-', 'かみ', 'あ.げる', '-あ.げる', 'あ.がる', '-あ.がる', 'あ.がり', '-あ.がり', 'のぼ.る', 'のぼ.り', 'のぼ.せる', 'のぼ.す', 'たてまつ.る']",1.0,"['Above', '^Up', '^Over']",['じょう'],"['!うえ', '!あ', '!のぼ', '!うわ', '!かみ']","['Toe', 'Ground']"
下,3,1.0,97.0,4.0,5.0,"['Below', 'Down', 'Descend', 'Give', 'Low', 'Inferior']","['か', 'げ']","['した', 'しも', 'もと', 'さ.げる', 'さ.がる', 'くだ.る', 'くだ.り', 'くだ.す', '-くだ.す', 'くだ.さる', 'お.ろす', 'お.りる']",1.0,"['Below', '^Down', '^Under', '^Beneath']","['か', 'げ']","['!した', '!さ', '!くだ', '!お']","['Ground', 'Toe']"
口,3,1.0,284.0,4.0,4.0,['Mouth'],"['こう', 'く']",['くち'],1.0,['Mouth'],"['こう', '^く']",['!くち'],['Mouth']
大,3,1.0,7.0,4.0,5.0,"['Large', 'Big']","['だい', 'たい']","['おお-', 'おお.きい', '-おお.いに']",1.0,"['Big', '^Large']","['たい', 'だい']",['!おお'],['Big']
女,3,1.0,151.0,4.0,5.0,"['Woman', 'Female']","['じょ', 'にょ', 'にょう']","['おんな', 'め']",1.0,['Woman'],['じょ'],"['!おんな', '!め']",['Woman']
山,3,1.0,131.0,4.0,5.0,['Mountain'],"['さん', 'せん']",['やま'],1.0,['Mountain'],['さん'],['!やま'],['Mountain']
川,3,1.0,181.0,4.0,5.0,"['Stream', 'River', 'River Or Three-stroke River Radical (no. 47)']",['せん'],['かわ'],1.0,['River'],['!せん'],['かわ'],['River']
工,3,2.0,299.0,3.0,4.0,"['Craft', 'Construction', 'Katakana E Radical (no. 48)']","['こう', 'く', 'ぐ']",[],1.0,"['Construction', '^Industry']","['こう', '^く']",[],['Construction']
刀,2,2.0,1794.0,1.0,1.0,"['Sword', 'Saber', 'Knife']",['とう'],"['かたな', 'そり']",2.0,"['Sword', '^Katana']",['とう'],['!かたな'],['Sword']
土,3,1.0,307.0,4.0,5.0,"['Soil', 'Earth', 'Ground', 'Turkey']","['ど', 'と']",['つち'],2.0,"['Dirt', '^Soil', '^Earth', '^Ground']","['ど', '^と']",['!つち'],['Dirt']
千,3,1.0,195.0,4.0,5.0,['Thousand'],['せん'],['ち'],2.0,['Thousand'],['せん'],['!ち'],['Thousand']
夕,3,1.0,924.0,3.0,4.0,['Evening'],['せき'],['ゆう'],2.0,['Evening'],['!せき'],['ゆう'],['Evening']
子,3,1.0,72.0,4.0,5.0,"['Child', 'Sign Of The Rat', '11pm-1am', 'First Sign Of Chinese Zodiac']","['し', 'す', 'つ']","['こ', '-こ', 'ね']",2.0,"['Child', '^Kid']","['し', 'す']",['!こ'],['Child']
小,3,1.0,114.0,4.0,5.0,"['Little', 'Small']",['しょう'],"['ちい.さい', 'こ-', 'お-', 'さ-']",2.0,"['Small', '^Little']",['しょう'],"['!ちい', '!こ', '!お']",['Small']
丁,2,3.0,1312.0,1.0,1.0,"['Street', 'Ward', 'Town', 'Counter For Guns, Tools, Leaves Or Cakes Of Something', 'Even Number', '4th Calendar Sign']","['ちょう', 'てい', 'ちん', 'とう', 'ち']",['ひのと'],2.0,['Street'],"['ちょう', '^てい']",[],['Street']
了,2,8.0,792.0,2.0,2.0,"['Complete', 'Finish']",['りょう'],[],2.0,"['Finish', '^Complete', '^End']",['りょう'],[],['Barb']
又,2,8.0,1874.0,1.0,1.0,"['Or Again', 'Furthermore', 'On The Other Hand']",['ゆう'],"['また', 'また-', 'また.の-']",2.0,['Again'],[],['また'],['Stool']
丸,3,2.0,542.0,2.0,2.0,"['Round', 'Full (month)', 'Perfection', '-ship', 'Pills', 'Make Round', 'Roll Up', 'Curl Up', 'Seduce', 'Explain Away']",['がん'],"['まる', 'まる.める', 'まる.い']",2.0,"['Circle', '^Circular', '^Round']",['!がん'],['まる'],"['Nine', 'Drop']"
才,3,2.0,1497.0,2.0,3.0,"['Genius', 'Years Old', 'Cubic Shaku']",['さい'],[],2.0,['Genius'],['さい'],[],"['Cross', 'Slide']"
中,4,1.0,11.0,4.0,5.0,"['In', 'Inside', 'Middle', 'Mean', 'Center']",['ちゅう'],"['なか', 'うち', 'あた.る']",2.0,"['Middle', '^In', '^Inside', '^Center']",['ちゅう'],['!なか'],['Middle']
五,4,1.0,31.0,4.0,5.0,['Five'],['ご'],"['いつ', 'いつ.つ']",2.0,['Five'],['ご'],['!いつ'],['Five']
六,4,1.0,93.0,4.0,5.0,['Six'],"['ろく', 'りく']","['む', 'む.つ', 'むっ.つ', 'むい']",2.0,['Six'],['ろく'],['!む'],"['Lid', 'Fins']"
円,4,1.0,69.0,4.0,5.0,"['Circle', 'Yen', 'Round']",['えん'],"['まる.い', 'まる', 'まど', 'まど.か', 'まろ.やか']",2.0,"['Yen', '^Round', '^Circle']",['えん'],['!まる'],"['Lid', 'Head']"
天,4,1.0,512.0,4.0,5.0,"['Heavens', 'Sky', 'Imperial']",['てん'],"['あまつ', 'あめ', 'あま-']",2.0,['Heaven'],['てん'],['!あま'],['Heaven']
手,4,1.0,60.0,4.0,4.0,['Hand'],"['しゅ', 'ず']","['て', 'て-', '-て', 'た-']",2.0,['Hand'],['!しゅ'],['て'],['Hand']
文,4,1.0,190.0,3.0,4.0,"['Sentence', 'Literature', 'Style', 'Art', 'Decoration', 'Figures', 'Plan', 'Literary Radical (no. 67)']","['ぶん', 'もん']","['ふみ', 'あや']",2.0,"['Writing', '^Sentence']","['ぶん', 'もん']",[],['Writing']
日,4,1.0,1.0,4.0,5.0,"['Day', 'Sun', 'Japan', 'Counter For Days']","['にち', 'じつ']","['ひ', '-び', '-か']",2.0,"['Sun', '^Day']","['にち', 'じつ']","['!ひ', '!か', '!び']",['Sun']
月,4,1.0,23.0,4.0,5.0,"['Month', 'Moon']","['げつ', 'がつ']",['つき'],2.0,"['Moon', '^Month']","['げつ', 'がつ']",['!つき'],['Moon']
木,4,1.0,317.0,4.0,5.0,"['Tree', 'Wood']","['ぼく', 'もく']","['き', 'こ-']",2.0,"['Tree', '^Wood']","['もく', 'ぼく']","['!き', '!こ']",['Tree']
水,4,1.0,223.0,4.0,5.0,['Water'],['すい'],"['みず', 'みず-']",2.0,['Water'],['すい'],['!みず'],['Water']
火,4,1.0,574.0,4.0,5.0,['Fire'],['か'],"['ひ', '-び', 'ほ-']",2.0,['Fire'],['か'],"['!ひ', '!ほ']",['Fire']
犬,4,1.0,1326.0,3.0,4.0,['Dog'],['けん'],"['いぬ', 'いぬ-']",2.0,['Dog'],['!けん'],['いぬ'],['Dog']
王,4,1.0,684.0,2.0,3.0,"['King', 'Rule', 'Magnate']","['おう', '-のう']",[],2.0,['King'],['おう'],[],['King']
出,5,1.0,13.0,4.0,5.0,"['Exit', 'Leave', 'Go Out', 'Come Out', 'Put Out', 'Protrude']","['しゅつ', 'すい']","['で.る', '-で', 'だ.す', '-だ.す', 'い.でる', 'い.だす']",2.0,['Exit'],['しゅつ'],"['!で', '!だ']",['Mountain']
右,5,1.0,602.0,4.0,5.0,['Right'],"['う', 'ゆう']",['みぎ'],2.0,['Right'],"['^う', 'ゆう']",['!みぎ'],"['Narwhal', 'Mouth']"
四,5,1.0,47.0,4.0,5.0,['Four'],['し'],"['よ', 'よ.つ', 'よっ.つ', 'よん']",2.0,['Four'],['し'],"['!よん', '!よ']","['Mouth', 'Legs']"
左,5,1.0,630.0,4.0,5.0,['Left'],"['さ', 'しゃ']",['ひだり'],2.0,['Left'],['さ'],['!ひだり'],"['Narwhal', 'Construction']"
本,5,1.0,10.0,4.0,5.0,"['Book', 'Present', 'Main', 'Origin', 'True', 'Real', 'Counter For Long Cylindrical Things']",['ほん'],['もと'],2.0,"['Book', '^Origin', '^Real', '^Main']",['ほん'],['!もと'],['Book']
正,5,1.0,143.0,3.0,4.0,"['Correct', 'Justice', 'Righteous', '10**40']","['せい', 'しょう']","['ただ.しい', 'ただ.す', 'まさ', 'まさ.に']",2.0,['Correct'],"['せい', 'しょう']","['!ただ', '!まさ']","['Ground', 'Stop']"
玉,5,1.0,737.0,2.0,2.0,"['Jewel', 'Ball']",['ぎょく'],"['たま', 'たま-', '-だま']",2.0,['Ball'],['!ぎょく'],['たま'],"['King', 'Drop']"
田,5,1.0,90.0,3.0,4.0,"['Rice Field', 'Rice Paddy']",['でん'],['た'],2.0,"['Rice Paddy', '^Rice Field', '^Field']",['!でん'],['た'],['Rice Paddy']
白,5,1.0,483.0,4.0,5.0,['White'],"['はく', 'びゃく']","['しろ', 'しら-', 'しろ.い']",2.0,['White'],['はく'],"['!しろ', '!しら']",['White']
目,5,1.0,76.0,4.0,4.0,"['Eye', 'Class', 'Look', 'Insight', 'Experience', 'Care', 'Favor']","['もく', 'ぼく']","['め', '-め', 'ま-']",2.0,['Eye'],['!もく'],['め'],['Eye']
石,5,1.0,342.0,2.0,3.0,['Stone'],"['せき', 'しゃく', 'こく']",['いし'],4.0,['Stone'],['せき'],['!いし'],['Stone']
立,5,1.0,58.0,4.0,4.0,"['Stand Up', 'Rise', 'Set Up', 'Erect']","['りつ', 'りゅう', 'りっとる']","['た.つ', '-た.つ', 'た.ち-', 'た.てる', '-た.てる', 'た.て-', 'たて-', '-た.て', '-だ.て', '-だ.てる']",2.0,['Stand'],"['りつ', 'りゅう']",['!た'],['Stand']
万,3,2.0,375.0,4.0,5.0,"['Ten Thousand', '10,000']","['まん', 'ばん']",['よろず'],3.0,['Ten Thousand'],"['まん', 'ばん']",[],"['Leaf', 'Sword']"
久,3,5.0,688.0,2.0,2.0,"['Long Time', 'Old Story']","['きゅう', 'く']",['ひさ.しい'],32.0,['Long Time'],"['きゅう', '^く']",['!ひさ'],"['Prison', 'Slide']"
今,4,2.0,49.0,4.0,5.0,['Now'],"['こん', 'きん']",['いま'],3.0,['Now'],['こん'],['!いま'],['Now']
元,4,2.0,192.0,3.0,4.0,"['Beginning', 'Former Time', 'Origin']","['げん', 'がん']",['もと'],3.0,['Origin'],"['げん', 'がん']",['!もと'],['Origin']
公,4,2.0,118.0,2.0,4.0,"['Public', 'Prince', 'Official', 'Governmental']","['こう', 'く']",['おおやけ'],3.0,['Public'],['こう'],[],"['Fins', 'Private']"
内,4,2.0,44.0,2.0,3.0,"['Inside', 'Within', 'Between', 'Among', 'House', 'Home']","['ない', 'だい']",['うち'],3.0,"['Inside', '^Within']",['ない'],['!うち'],"['Head', 'Person']"
分,4,2.0,24.0,4.0,,"['Part', 'Minute Of Time', 'Segment', 'Share', 'Degree', ""One's Lot"", 'Duty', 'Understand', 'Know', 'Rate', '1%', 'Chances', 'Shaku/100']","['ぶん', 'ふん', 'ぶ']","['わ.ける', 'わ.け', 'わ.かれる', 'わ.かる', 'わ.かつ']",3.0,"['Part', '^Minute', '^Separate', '^Understand']","['ぶん', 'ふん', 'ぶ']",['!わ'],"['Fins', 'Sword']"
切,4,2.0,324.0,3.0,4.0,"['Cut', 'Cutoff', 'Be Sharp']","['せつ', 'さい']","['き.る', '-き.る', 'き.り', '-き.り', '-ぎ.り', 'き.れる', '-き.れる', 'き.れ', '-き.れ', '-ぎ.れ']",3.0,['Cut'],['せつ'],['!き'],"['Seven', 'Sword']"
午,4,2.0,154.0,4.0,5.0,"['Noon', 'Sign Of The Horse', '11am-1pm', 'Seventh Sign Of Chinese Zodiac']",['ご'],['うま'],3.0,['Noon'],['ご'],[],"['Slide', 'Dry']"
友,4,2.0,622.0,4.0,5.0,['Friend'],['ゆう'],['とも'],3.0,['Friend'],['ゆう'],['!とも'],"['Narwhal', 'Stool']"
太,4,2.0,552.0,3.0,3.0,"['Plump', 'Thick', 'Big Around']","['たい', 'た']","['ふと.い', 'ふと.る']",3.0,['Fat'],"['たい', 'た']",['!ふと'],"['Big', 'Drop']"
少,4,2.0,287.0,4.0,4.0,"['Few', 'Little']",['しょう'],"['すく.ない', 'すこ.し']",3.0,"['Few', '^A Little']",['しょう'],['!すこ'],"['Small', 'Slide']"
引,4,2.0,218.0,3.0,3.0,"['Pull', 'Tug', 'Jerk', 'Admit', 'Install', 'Quote', 'Refer To']",['いん'],"['ひ.く', 'ひ.き', 'ひ.き-', '-び.き', 'ひ.ける']",3.0,['Pull'],['!いん'],['ひ'],"['Bow', 'Stick']"
心,4,2.0,157.0,3.0,4.0,"['Heart', 'Mind', 'Spirit', 'Heart Radical (no. 61)']",['しん'],"['こころ', '-ごころ']",3.0,['Heart'],['しん'],['!こころ'],['Heart']
戸,4,2.0,575.0,2.0,2.0,"['Door', 'Counter For Houses', 'Door Radical (no. 63)']",['こ'],['と'],3.0,['Door'],['!こ'],['と'],['Door']
方,4,2.0,46.0,3.0,4.0,"['Direction', 'Person', 'Alternative']",['ほう'],"['かた', '-かた', '-がた']",3.0,"['Direction', '^Way']",['ほう'],['!かた'],['Direction']
牛,4,2.0,1202.0,3.0,4.0,['Cow'],['ぎゅう'],['うし'],3.0,['Cow'],['ぎゅう'],['!うし'],['Cow']
父,4,2.0,646.0,4.0,5.0,['Father'],['ふ'],['ちち'],3.0,"['Father', '^Dad']",['!ふ'],['ちち'],['Father']
毛,4,2.0,1179.0,2.0,2.0,"['Fur', 'Hair', 'Feather', 'Down']",['もう'],['け'],3.0,"['Fur', '^Hair']",['もう'],['!け'],['Fur']
止,4,2.0,310.0,3.0,4.0,"['Stop', 'Halt']",['し'],"['と.まる', '-ど.まり', 'と.める', '-と.める', '-ど.め', 'とど.める', 'とど.め', 'とど.まる', 'や.める', 'や.む', '-や.む', 'よ.す', '-さ.す', '-さ.し']",3.0,['Stop'],['し'],"['!と', '!や']",['Stop']
兄,5,2.0,1219.0,3.0,4.0,"['Elder Brother', 'Big Brother']","['けい', 'きょう']",['あに'],5.0,"['Older Brother', '^Big Brother', '^Elder Brother']",['きょう'],['!あに'],"['Mouth', 'Legs']"
冬,5,2.0,1090.0,3.0,4.0,['Winter'],['とう'],['ふゆ'],3.0,['Winter'],['!とう'],['ふゆ'],"['Winter', 'Two']"
北,5,2.0,153.0,4.0,5.0,['North'],['ほく'],['きた'],3.0,['North'],['ほく'],['!きた'],"['Fingers', 'Spoon']"
半,5,2.0,224.0,4.0,5.0,"['Half', 'Middle', 'Odd Number', 'Semi-', 'Part-']",['はん'],['なか.ば'],3.0,['Half'],['はん'],['!なか'],"['Triceratops', 'Dry']"
古,5,2.0,509.0,4.0,4.0,['Old'],['こ'],"['ふる.い', 'ふる-', '-ふる.す']",3.0,['Old'],['こ'],['!ふる'],['Old']
台,5,2.0,262.0,3.0,4.0,"['Pedestal', 'A Stand', 'Counter For Machines And Vehicles']","['だい', 'たい']","['うてな', 'われ', 'つかさ']",3.0,['Machine'],"['だい', '^たい']",[],"['Private', 'Mouth']"
外,5,2.0,81.0,4.0,5.0,['Outside'],"['がい', 'げ']","['そと', 'ほか', 'はず.す', 'はず.れる', 'と-']",3.0,['Outside'],['がい'],"['!そと', '!はず']","['Evening', 'Toe']"
市,5,2.0,42.0,3.0,3.0,"['Market', 'City', 'Town']",['し'],['いち'],3.0,['City'],['し'],['!いち'],"['Lid', 'Towel']"
広,5,2.0,263.0,3.0,4.0,"['Wide', 'Broad', 'Spacious']",['こう'],"['ひろ.い', 'ひろ.まる', 'ひろ.める', 'ひろ.がる', 'ひろ.げる']",3.0,['Wide'],['!こう'],['ひろ'],"['Canopy', 'Private']"
母,5,2.0,570.0,4.0,5.0,['Mother'],['ぼ'],"['はは', 'も']",3.0,"['Mother', '^Mom', '^Mum']",['!ぼ'],['はは'],"['Sun', 'Drop']"
用,5,2.0,107.0,3.0,4.0,"['Utilize', 'Business', 'Service', 'Use', 'Employ']",['よう'],['もち.いる'],3.0,"['Task', '^Use']",['よう'],['!もち'],['Task']
矢,5,2.0,1294.0,1.0,1.0,"['Dart', 'Arrow']",['し'],['や'],3.0,['Arrow'],['!し'],['や'],['Arrow']
世,5,3.0,135.0,3.0,4.0,"['Generation', 'World', 'Society', 'Public']","['せい', 'せ', 'そう']",['よ'],4.0,"['World', '^Generation']","['せ', 'せい']",['!よ'],['World']
主,5,3.0,95.0,3.0,4.0,"['Lord', 'Chief', 'Master', 'Main Thing', 'Principal']","['しゅ', 'す', 'しゅう']","['ぬし', 'おも', 'あるじ']",4.0,"['Master', '^Main']",['しゅ'],"['!おも', '!ぬし']",['Master']
他,5,3.0,543.0,2.0,3.0,"['Other', 'Another', 'The Others']",['た'],['ほか'],4.0,['Other'],['た'],['!ほか'],"['Leader', 'Alligator']"
代,5,3.0,66.0,3.0,4.0,"['Substitute', 'Change', 'Convert', 'Replace', 'Period', 'Age', 'Counter For Decades Of Ages, Eras, Etc.', 'Generation', 'Charge', 'Rate', 'Fee']","['だい', 'たい']","['か.わる', 'かわ.る', 'かわ.り', 'か.わり', '-がわ.り', '-が.わり', 'か.える', 'よ', 'しろ']",4.0,"['Substitute', '^Replace', '^Period', '^Age']",['だい'],"['!か', '!かわ', '!しろ']","['Leader', 'Ceremony']"
写,5,3.0,453.0,3.0,4.0,"['Copy', 'Be Photographed', 'Describe']","['しゃ', 'じゃ']","['うつ.す', 'うつ.る', 'うつ-', 'うつ.し']",4.0,['Copy'],['しゃ'],['!うつ'],"['Forehead', 'Ground', 'Beggar']"
去,5,3.0,440.0,3.0,4.0,"['Gone', 'Past', 'Quit', 'Leave', 'Elapse', 'Eliminate', 'Divorce']","['きょ', 'こ']","['さ.る', '-さ.る']",4.0,['Past'],"['きょ', 'こ']",['!さ'],"['Dirt', 'Private']"
号,5,3.0,585.0,2.0,3.0,"['Nickname', 'Number', 'Item', 'Title', 'Pseudonym', 'Name', 'Call']",['ごう'],"['さけ.ぶ', 'よびな']",4.0,['Number'],['ごう'],[],"['Mouth', 'Ground', 'Prison']"
央,5,3.0,582.0,2.0,2.0,"['Center', 'Middle']",['おう'],[],4.0,"['Center', '^Centre']",['おう'],[],"['Big', 'Head']"
平,5,3.0,128.0,2.0,3.0,"['Even', 'Flat', 'Peace']","['へい', 'びょう', 'ひょう']","['たい.ら', '-だいら', 'ひら', 'ひら-']",4.0,"['Flat', '^Peace']","['へい', '^ひょう', '^びょう']","['!たいら', '!ひら']","['Dry', 'Horns']"
打,5,3.0,239.0,2.0,3.0,"['Strike', 'Hit', 'Knock', 'Pound', 'Dozen']","['だ', 'だあす']","['う.つ', 'う.ち-', 'ぶ.つ']",4.0,['Hit'],['だ'],"['!う', '!ぶ']","['Fingers', 'Street']"
氷,5,3.0,1450.0,2.0,2.0,"['Icicle', 'Ice', 'Hail', 'Freeze', 'Congeal']",['ひょう'],"['こおり', 'ひ', 'こお.る']",4.0,['Ice'],['!ひょう'],['こおり'],"['Water', 'Drop']"
申,5,3.0,492.0,2.0,3.0,"['Have The Honor To', 'Sign Of The Monkey', '3-5pm', 'Ninth Sign Of Chinese Zodiac']",['しん'],"['もう.す', 'もう.し-', 'さる']",4.0,"['Say Humbly', '^Say', '^Humbly Say']",['!しん'],['もう'],"['Cross', 'Mouth']"
皮,5,3.0,1092.0,2.0,2.0,"['Pelt', 'Skin', 'Hide', 'Leather', 'Skin Radical (no. 107)']",['ひ'],['かわ'],5.0,['Skin'],['ひ'],['!かわ'],"['Slide', 'Branch']"
皿,5,3.0,1812.0,2.0,2.0,"['Dish', 'A Helping', 'Plate']",['べい'],['さら'],4.0,"['Plate', '^Dish']",[],['さら'],['Plate']
礼,5,3.0,1185.0,2.0,3.0,"['Salute', 'Bow', 'Ceremony', 'Thanks', 'Remuneration']","['れい', 'らい']",[],4.0,['Thanks'],['れい'],[],"['Spirit', 'Umbrella']"
休,6,1.0,642.0,4.0,5.0,"['Rest', 'Day Off', 'Retire', 'Sleep']",['きゅう'],"['やす.む', 'やす.まる', 'やす.める']",4.0,['Rest'],['きゅう'],['!やす'],"['Leader', 'Tree']"
先,6,1.0,173.0,4.0,5.0,"['Before', 'Ahead', 'Previous', 'Future', 'Precedence']",['せん'],"['さき', 'ま.ず']",4.0,"['Previous', '^Ahead', '^Past', '^Former']",['せん'],"['!さき', '!まず']","['Slide', 'Dirt', 'Legs']"
名,6,1.0,177.0,4.0,5.0,"['Name', 'Noted', 'Distinguished', 'Reputation']","['めい', 'みょう']","['な', '-な']",4.0,"['Name', '^Famous']","['めい', 'みょう']",['!な'],"['Evening', 'Mouth']"
字,6,1.0,485.0,3.0,4.0,"['Character', 'Letter', 'Word', 'Section Of Village']",['じ'],"['あざ', 'あざな', '-な']",4.0,"['Letter', '^Character', '^Symbol']",['じ'],[],"['Roof', 'Child']"
年,6,1.0,6.0,4.0,5.0,"['Year', 'Counter For Years']",['ねん'],['とし'],4.0,['Year'],['ねん'],['!とし'],"['Gun', 'Cow']"
早,6,1.0,402.0,3.0,4.0,"['Early', 'Fast']","['そう', 'さっ']","['はや.い', 'はや', 'はや-', 'はや.まる', 'はや.める', 'さ-']",4.0,"['Early', '^Fast', '^Quick']",['そう'],"['!はや', '!さ']","['Sun', 'Cross']"
気,6,1.0,113.0,4.0,5.0,"['Spirit', 'Mind', 'Air', 'Atmosphere', 'Mood']","['き', 'け']",['いき'],4.0,"['Energy', '^Spirit']","['き', 'け']",['!いき'],"['Energy', 'Treasure']"
百,6,1.0,163.0,4.0,5.0,['Hundred'],"['ひゃく', 'びゃく']",['もも'],4.0,['Hundred'],['ひゃく'],['!もも'],"['Leaf', 'Sun']"
竹,6,1.0,593.0,2.0,2.0,['Bamboo'],['ちく'],['たけ'],4.0,['Bamboo'],[],['たけ'],['Bamboo']
糸,6,1.0,1488.0,2.0,2.0,['Thread'],['し'],['いと'],4.0,['Thread'],['!し'],['いと'],['Thread']
耳,6,1.0,1328.0,4.0,3.0,['Ear'],['じ'],['みみ'],4.0,['Ear'],['!じ'],['みみ'],['Ear']
虫,6,1.0,1351.0,2.0,2.0,"['Insect', 'Bug', 'Temper']","['ちゅう', 'き']",['むし'],4.0,"['Insect', '^Bug']","['!ちゅう', '!き']",['むし'],['Insect']
村,7,1.0,253.0,3.0,2.0,"['Village', 'Town']",['そん'],['むら'],4.0,['Village'],['!そん'],['むら'],"['Tree', 'Measurement']"
男,7,1.0,240.0,4.0,5.0,['Male'],"['だん', 'なん']","['おとこ', 'お']",4.0,['Man'],['だん'],['!おとこ'],"['Rice Paddy', 'Power']"
町,7,1.0,292.0,3.0,4.0,"['Town', 'Village', 'Block', 'Street']",['ちょう'],['まち'],4.0,['Town'],['ちょう'],['!まち'],"['Rice Paddy', 'Street']"
花,7,1.0,578.0,4.0,4.0,['Flower'],"['か', 'け']",['はな'],4.0,['Flower'],"['!か', '!け']",['はな'],"['Flowers', 'Leader', 'Spoon']"
見,7,1.0,22.0,4.0,5.0,"['See', 'Hopes', 'Chances', 'Idea', 'Opinion', 'Look At', 'Visible']",['けん'],"['み.る', 'み.える', 'み.せる']",4.0,['See'],['!けん'],['み'],['See']
貝,7,1.0,1787.0,2.0,2.0,['Shellfish'],['ばい'],['かい'],4.0,"['Shellfish', '^Shell']",[],['かい'],['Shellfish']
赤,7,1.0,584.0,3.0,4.0,['Red'],"['せき', 'しゃく']","['あか', 'あか-', 'あか.い', 'あか.らむ', 'あか.らめる']",4.0,['Red'],['!せき'],['あか'],['Red']
足,7,1.0,343.0,4.0,4.0,"['Leg', 'Foot', 'Be Sufficient', 'Counter For Pairs Of Footwear']",['そく'],"['あし', 'た.りる', 'た.る', 'た.す']",4.0,"['Foot', '^Leg', '^Sufficient']",['そく'],"['!あし', '!た']",['Foot']
車,7,1.0,333.0,4.0,5.0,['Car'],['しゃ'],['くるま'],4.0,['Car'],['しゃ'],['!くるま'],['Car']
不,4,4.0,101.0,3.0,4.0,"['Negative', 'Non-', 'Bad', 'Ugly', 'Clumsy']","['ふ', 'ぶ']",[],4.0,['Not'],['ふ'],[],['Not']
